point,workload,cc,task_id,trace_id,cycle,admission_phase,completed_in_window,lifecycle_s,setup_s,replay_s,other_lifecycle_s
openclaw-cc1,openclaw,1,00001,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,1,warmup,False,32.02826623490546,12.508938,14.031314,5.488014234905458
openclaw-cc1,openclaw,1,00002,32102e3e-d12a-4209-9163-7b3a104efe5d,1,warmup,False,34.157292100950144,12.228529,16.76544,5.163323100950141
openclaw-cc1,openclaw,1,00003,14569e28-c88c-43e4-8c32-097d35b9a67d,1,warmup,True,158.98977882403415,12.471055,141.160839,5.35788482403413
openclaw-cc1,openclaw,1,00004,00d579ea-0889-4fd9-a771-2c8d79835c8d,1,measurement,True,31.36455717892386,12.38029,13.575794,5.408473178923858
openclaw-cc1,openclaw,1,00005,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,1,measurement,True,44.9707218130352,12.27702,27.294245,5.399456813035197
openclaw-cc1,openclaw,1,00006,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,1,measurement,True,97.14584845304489,28.43223,63.331682,5.3819364530448865
openclaw-cc1,openclaw,1,00007,e4e91f1c-1dcd-439e-9fdd-cb976f5293fd,1,measurement,True,50.57357551099267,12.210786,33.014941,5.3478485109926694
openclaw-cc1,openclaw,1,00008,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,1,measurement,True,35.156007268000394,12.303817,17.459048,5.393142268000393
openclaw-cc1,openclaw,1,00009,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,1,measurement,True,42.78016485495027,12.499653,24.861277,5.419234854950268
openclaw-cc1,openclaw,1,00010,04a04a9b-226c-43fd-b319-d5e89743676f,1,measurement,True,108.51466715603601,12.311529,90.683647,5.519491156036011
openclaw-cc1,openclaw,1,00011,cffe0e32-c9a6-4c52-9877-78ceb4aaa9fb,1,measurement,False,248.10303810390178,11.974817,231.165901,4.962320103901789
openclaw-cc2,openclaw,2,00001,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,1,warmup,False,32.90015694801696,12.652388,14.86459,5.383178948016955
openclaw-cc2,openclaw,2,00002,32102e3e-d12a-4209-9163-7b3a104efe5d,1,warmup,False,35.6626721250359,12.363597,18.197177,5.101898125035898
openclaw-cc2,openclaw,2,00003,14569e28-c88c-43e4-8c32-097d35b9a67d,1,warmup,True,167.9260843140073,11.862877,150.634521,5.428686314007308
openclaw-cc2,openclaw,2,00004,00d579ea-0889-4fd9-a771-2c8d79835c8d,1,warmup,False,29.903131469967775,11.813047,12.720332,5.369752469967777
openclaw-cc2,openclaw,2,00005,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,1,warmup,False,44.29974017397035,11.781267,27.023738,5.494735173970348
openclaw-cc2,openclaw,2,00006,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,1,warmup,True,83.90830804500729,11.321118,67.202635,5.384555045007289
openclaw-cc2,openclaw,2,00007,e4e91f1c-1dcd-439e-9fdd-cb976f5293fd,1,measurement,True,49.79221600200981,10.995853,33.434913,5.361450002009811
openclaw-cc2,openclaw,2,00008,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,1,measurement,True,34.8396777829621,11.126278,18.34567,5.367729782962101
openclaw-cc2,openclaw,2,00009,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,1,measurement,True,41.49339560500812,10.958323,25.263898,5.271174605008117
