workload,trace_id,node_id,call_index,trace_llm_calls,replay_32k_eligible,input_qwen_tokens,input_nemotron_usage_tokens,output_recorded_tokens,output_reasoning_tokens,output_nonreasoning_tokens,output_unknown_tokens,response_id
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,llm-001,1,6,False,6846,7724,177,125,52,0,chatcmpl-f8ac7241-f035-4a39-9a86-f7d3afe068fe
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,llm-002,2,6,False,9640,10650,95,41,54,0,chatcmpl-dafe3f2c-9fa8-4d81-878f-a8d8c9b73867
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,llm-003,3,6,False,34662,36930,77,21,56,0,chatcmpl-26673804-2c6b-4cb9-93de-f2432ff4fd7a
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,llm-004,4,6,False,37613,39996,213,161,52,0,chatcmpl-3b0f0cbb-178f-4015-815d-b5293a2357b7
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,llm-005,5,6,False,40807,43309,363,307,56,0,chatcmpl-1a98c991-6ed2-40cc-bfff-42b47bf7af7e
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,llm-006,6,6,False,43563,46140,433,258,175,0,chatcmpl-af1dc3ef-8cb2-4e1b-b8db-61ab26a080ce
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,llm-001,1,6,True,6850,7729,161,107,54,0,chatcmpl-6ac59192-dc3c-447a-abb3-cf55301b0571
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,llm-002,2,6,True,9644,10655,119,61,58,0,chatcmpl-879c60f0-972b-44a7-b38f-128fe9194c82
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,llm-003,3,6,True,13244,14290,122,77,45,0,chatcmpl-a3de37cf-9c08-4c10-b3ef-08f08bdbb694
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,llm-004,4,6,True,16010,17193,194,136,58,0,chatcmpl-3d62bfe2-ff67-4d94-a734-efa27d936a3e
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,llm-005,5,6,True,18185,19412,162,104,58,0,chatcmpl-aebcf4b3-0a62-46a8-986a-57bb4f03607a
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,llm-006,6,6,True,20438,21702,265,152,113,0,chatcmpl-6a1dfdd3-1db8-4a09-a2f8-cf258743b093
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,llm-001,1,9,True,6855,7733,425,369,56,0,chatcmpl-f55b8074-3e34-424e-a932-2a0992ee39f2
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,llm-002,2,9,True,9825,10841,399,350,49,0,chatcmpl-15b0bb5b-f54b-4676-a30b-a65977f91386
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,llm-003,3,9,True,12540,13687,60,19,41,0,chatcmpl-a3319478-c6ef-4644-9e85-e4eac69d10e3
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,llm-004,4,9,True,17540,18739,1182,1122,60,0,chatcmpl-db3af1fd-20ef-4a49-a7ef-986d168778f0
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,llm-005,5,9,True,17699,18914,726,668,58,0,chatcmpl-5f53f47b-cc19-43a8-8f53-0db142908a68
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,llm-006,6,9,True,17854,19085,631,576,55,0,chatcmpl-ab486e12-e79b-407d-a39c-07cff0492131
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,llm-007,7,9,True,18003,19250,503,444,59,0,chatcmpl-38b7eb90-80da-46f4-84a8-9d3ba0e576e0
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,llm-008,8,9,True,18449,19727,104,60,44,0,chatcmpl-b78be28f-f3b8-4d71-899e-0785adb3db5e
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,llm-009,9,9,True,21732,23065,378,173,205,0,chatcmpl-5e7a841a-d015-40db-8ec9-7121c5da5770
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,llm-001,1,7,True,6887,7767,918,874,44,0,chatcmpl-aef60069-046f-429a-85a4-ee54444fd5f2
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,llm-002,2,7,True,8421,9372,76,37,39,0,chatcmpl-04d5416d-266f-4a30-b799-d9edb8473249
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,llm-003,3,7,True,8492,9451,42,8,34,0,chatcmpl-27a52bf8-4b0d-4ca3-ac98-8aa347391420
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,llm-004,4,7,True,14134,15235,3586,3543,43,0,chatcmpl-49e80557-3dd8-43bf-80b8-c2e1c9e81a52
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,llm-005,5,7,True,15682,16846,55,16,39,0,chatcmpl-e7ba2a5a-ba7f-40cf-b7b6-be42daecdf54
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,llm-006,6,7,True,15753,16925,47,12,35,0,chatcmpl-d4114f52-258f-4f73-a55c-92eb7e21f9a4
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,llm-007,7,7,True,20883,22077,2565,2338,227,0,chatcmpl-33cabfdc-37d2-416c-b265-c05722f81723
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,llm-001,1,7,False,6832,7710,180,92,88,0,chatcmpl-dc2cb30e-28fc-439b-aab9-bd2f2d1a9fc2
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,llm-002,2,7,False,10135,11134,118,26,92,0,chatcmpl-f43edc36-126b-4fc6-bcac-69a96776c1d9
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,llm-003,3,7,False,27473,28308,136,29,107,0,chatcmpl-ace20867-d608-4cce-a513-f3ecae634a77
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,llm-004,4,7,False,30839,31797,576,518,58,0,chatcmpl-0a414e05-f6a9-4668-8297-7360c5bec2fd
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,llm-005,5,7,False,33460,34440,75,23,52,0,chatcmpl-75d236f1-3797-4475-b328-908f42e0d8b8
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,llm-006,6,7,False,35047,36097,84,20,64,0,chatcmpl-be8b40b8-5ae8-4c56-84c7-7bd14cd702f6
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,llm-007,7,7,False,38284,39388,920,672,248,0,chatcmpl-0e4850af-6f1f-403a-9897-7890c0d0641e
openclaw,32102e3e-d12a-4209-9163-7b3a104efe5d,llm-001,1,3,True,6857,7735,254,20,234,0,chatcmpl-7fadbf75-5c5b-41e8-9854-7e1a565d6f0c
openclaw,32102e3e-d12a-4209-9163-7b3a104efe5d,llm-002,2,3,True,7198,8080,247,18,229,0,chatcmpl-76e86fd8-cad2-46cc-a8ff-5dd66f51daba
openclaw,32102e3e-d12a-4209-9163-7b3a104efe5d,llm-003,3,3,True,8088,8990,313,157,156,0,chatcmpl-3855428e-6914-4346-b2f6-c2079b63c1de
openclaw,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,llm-001,1,5,True,6791,7671,104,50,54,0,chatcmpl-03c04f37-d017-4337-9b9b-8fa4c3cbf586
openclaw,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,llm-002,2,5,True,9733,10710,65,17,48,0,chatcmpl-b0c8eff1-8d1a-4a1b-845c-cca02e99169a
openclaw,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,llm-003,3,5,True,16705,17627,102,37,65,0,chatcmpl-d8b33e5b-dfb0-475b-83e8-cffa45858fa8
openclaw,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,llm-004,4,5,True,19205,20057,90,25,65,0,chatcmpl-4639c116-351d-4aac-8710-c233032133f5
openclaw,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,llm-005,5,5,True,19953,20800,373,249,124,0,chatcmpl-c7c4539c-b162-4b28-9809-c3f1bf90980c
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,llm-001,1,9,True,6817,7696,154,99,55,0,chatcmpl-0bd4ab2c-811b-4653-83d1-f5c7843843d4
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,llm-002,2,9,True,9582,10569,131,80,51,0,chatcmpl-20a9dcbf-a98f-47f7-a3d2-ebe64c537131
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,llm-003,3,9,True,12548,13662,120,59,61,0,chatcmpl-4cce0501-27c3-44d3-8e4c-3526b45a9148
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,llm-004,4,9,True,12845,13983,66,11,55,0,chatcmpl-1ce0667b-825e-43bc-a8a7-e91cb088c5fc
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,llm-005,5,9,True,13406,14579,88,31,57,0,chatcmpl-1d585f30-8d5b-49bf-a4e6-81f4567593ef
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,llm-006,6,9,True,15977,17276,184,122,62,0,chatcmpl-16abfa6e-fbf7-49e6-a4c2-c4590baf4662
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,llm-007,7,9,True,16269,17594,105,47,58,0,chatcmpl-9b91422c-f46b-463e-8899-887017adf2f9
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,llm-008,8,9,True,16561,17912,68,15,53,0,chatcmpl-abc3e46b-0d5b-4369-a255-39b362062a2d
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,llm-009,9,9,True,19373,20858,253,136,117,0,chatcmpl-f647c02e-e09a-4b07-b336-52de7b0edcb2
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-001,1,12,False,6818,7699,110,62,48,0,chatcmpl-db6375d4-f3e4-4894-95b5-02828c029278
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-002,2,12,False,9952,10996,110,70,40,0,chatcmpl-0875f609-f03a-4224-9fc6-f56717a909b6
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-003,3,12,False,12781,13963,160,114,46,0,chatcmpl-1da18855-0977-47e5-b78e-4af2f6fcdef4
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-004,4,12,False,16106,17461,91,42,49,0,chatcmpl-724a14d9-5d05-452a-8e70-df723814153f
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-005,5,12,False,19855,21378,220,180,40,0,chatcmpl-48311fed-6032-4f01-b897-2c3c9293a013
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-006,6,12,False,22546,24231,65,25,40,0,chatcmpl-e21dcaaf-fddd-47d0-9bce-e6fd13739fd7
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-007,7,12,False,26205,28063,162,113,49,0,chatcmpl-6246dd1c-c9ba-4278-ae76-27c280811040
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-008,8,12,False,28850,30843,109,66,43,0,chatcmpl-d5de0fd8-638d-409a-92b7-3655adc5580f
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-009,9,12,False,29262,31290,85,35,50,0,chatcmpl-e19e288d-0a56-433c-a767-94e29d0d7d52
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-010,10,12,False,30259,32345,124,81,43,0,chatcmpl-79eafc24-5f35-4004-b85b-f8cb3267ef7d
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-011,11,12,False,33037,35288,148,104,44,0,chatcmpl-dd30ca93-6691-45b2-b47e-94b3feeaf213
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,llm-012,12,12,False,38372,40970,297,212,85,0,chatcmpl-93c752dd-5c33-45b8-a3ab-6b735722062d
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-001,1,29,False,6895,7771,207,150,57,0,chatcmpl-72d05db9-aa32-45b6-b77b-ebbc4e5d0bdb
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-002,2,29,False,9725,10741,81,41,40,0,chatcmpl-9d501b47-940d-4cd9-bbea-3ec82d1c35d6
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-003,3,29,False,14239,15367,69,16,53,0,chatcmpl-04708628-a30f-4a9a-8d39-2035106ac79f
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-004,4,29,False,18165,19397,2810,2553,257,0,chatcmpl-0fd67996-8a19-49d7-9b4b-8417518eea30
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-005,5,29,False,18506,19762,57,8,49,0,chatcmpl-89c973c9-d6ef-4a33-9988-03cbec8521ad
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-006,6,29,False,21094,22475,66,17,49,0,chatcmpl-3e809366-a2a8-4e1c-8bf6-d2916c5080d0
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-007,7,29,False,25156,26623,68,14,54,0,chatcmpl-7de94ceb-bad4-4785-a9a7-92d62158d8b4
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-008,8,29,False,50995,53658,83,31,52,0,chatcmpl-087134af-3709-4c8a-819b-fc651eb6694c
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-009,9,29,False,51136,53817,70,19,51,0,chatcmpl-26d8a908-5fc4-4932-acf6-ee6edc4bea05
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-010,10,29,False,53903,56717,82,25,57,0,chatcmpl-e8997b73-81ee-4610-8a06-3852420d9a2f
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-011,11,29,False,69319,72837,88,31,57,0,chatcmpl-5904cde9-e556-4640-b3bf-5ed78ad10de6
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-012,12,29,False,69974,73534,84,29,55,0,chatcmpl-fb0607e7-03a9-4cfb-b3d4-bd534ef0fde1
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-013,13,29,False,70428,74025,78,24,54,0,chatcmpl-9a2fab3c-2a25-4d5f-8aa3-595a9dcd2dc7
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-014,14,29,False,96296,101052,80,25,55,0,chatcmpl-44eb408a-be91-4116-b481-b2557e9de4e0
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-015,15,29,False,96441,101217,72,19,53,0,chatcmpl-d011e1de-8b77-40b9-a5eb-ca9f6510ad86
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-016,16,29,False,97448,102272,132,73,59,0,chatcmpl-2ddd9770-571f-41e2-89d1-dc7933d50d8e
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-017,17,29,False,114491,119993,234,177,57,0,chatcmpl-9d29f5af-4810-4ede-bd6e-ef328dccfc7c
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-018,18,29,False,114920,120462,109,54,55,0,chatcmpl-1e8cc28d-0cf7-4837-9159-1e45993d3daa
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-019,19,29,False,116235,121852,249,193,56,0,chatcmpl-99896528-7f5e-4fe4-b236-141d4e10c8c6
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-020,20,29,False,116965,122633,74,16,58,0,chatcmpl-1ea293ae-90f3-4217-80f0-6004fae0d6df
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-021,21,29,False,141439,148391,237,185,52,0,chatcmpl-6a91a2c7-7b32-4d7e-84be-ba62ff93a61c
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-022,22,29,False,141841,148831,68,16,52,0,chatcmpl-177e7b9d-8b85-4a40-a98a-4477be0f6be6
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-023,23,29,False,166511,174749,407,353,54,0,chatcmpl-9649e43b-1c18-4ef5-badf-a608476343df
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-024,24,29,False,166960,175240,71,15,56,0,chatcmpl-399fba75-b242-4082-a40a-fb606c8530a4
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-025,25,29,False,167101,175407,87,36,51,0,chatcmpl-1539e42f-d72c-49f6-ae18-ec6ffc558027
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-026,26,29,False,169007,177425,75,21,54,0,chatcmpl-4546106e-b1f6-4ef5-9cf1-221c4f0beb19
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-027,27,29,False,177802,186438,75,21,54,0,chatcmpl-ffdac41a-36e8-4450-924a-516d5a6b187b
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-028,28,29,False,202247,212017,444,388,56,0,chatcmpl-5454a5b6-ab07-4263-b18d-d3cea977bd2e
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,llm-029,29,29,False,202686,212498,7572,7145,427,0,chatcmpl-a3a838aa-eeb8-4f72-983b-1866957b50c2
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,llm-001,1,18,False,6816,7706,153,99,54,0,chatcmpl-9997d448-7a09-4f37-bbb3-713350fc3d39
