workload,trace_id,trace_path,replay_32k_eligible,terminal_status,llm_calls,tool_calls,unique_tool_names,input_qwen_total_tokens,max_input_qwen_tokens,output_recorded_total_tokens,output_reasoning_known_tokens,output_nonreasoning_known_tokens,output_unknown_tokens
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/001_c61d22de-5f6c-4958-a7f6-5e9707bd3466.json,False,stop,6,5,2,173131,43563,1358,913,445,0
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/002_17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc.json,True,stop,6,5,2,84371,20438,1023,637,386,0
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/003_04a04a9b-226c-43fd-b319-d5e89743676f.json,True,stop,9,8,2,140497,21732,4408,3781,627,0
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/004_14569e28-c88c-43e4-8c32-097d35b9a67d.json,True,stop,7,6,2,90252,20883,7289,6828,461,0
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/005_e1fc63a2-da7a-432f-be78-7c4a95598703.json,False,stop,7,9,2,182070,38284,2089,1380,709,0
openclaw,32102e3e-d12a-4209-9163-7b3a104efe5d,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/006_32102e3e-d12a-4209-9163-7b3a104efe5d.json,True,stop,3,2,1,22143,8088,814,195,619,0
openclaw,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/007_8e867cd7-cff9-4e6c-867a-ff5ddc2550be.json,True,stop,5,4,3,72387,19953,734,378,356,0
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/008_3627a8be-a77f-41bb-b807-7e1bd4c0ebdf.json,True,stop,9,8,2,123378,19373,1169,600,569,0
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/009_7619a514-5fa8-43ef-9143-83b66a43d7a4.json,False,stop,12,11,2,274043,38372,1681,1104,577,0
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/011_676e5e31-a554-4acc-9286-b60d90a92d26.json,False,stop,29,28,2,2767925,202686,13829,11695,2134,0
openclaw,2a649bb1-795f-4a01-b3be-9a01868dae73,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/013_2a649bb1-795f-4a01-b3be-9a01868dae73.json,False,stop,18,17,2,531289,44929,2095,1020,1075,0
openclaw,87c610df-bef7-4932-b950-1d83ef4e282b,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/014_87c610df-bef7-4932-b950-1d83ef4e282b.json,False,stop,7,6,2,144310,37378,1515,1052,463,0
openclaw,dd3c7503-f62a-4bd0-9f67-1b63b94194cc,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/016_dd3c7503-f62a-4bd0-9f67-1b63b94194cc.json,True,stop,8,7,3,119050,17738,3164,1628,1536,0
openclaw,5d0080cb-90d7-4712-bc33-848150e917d3,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/017_5d0080cb-90d7-4712-bc33-848150e917d3.json,False,stop,5,4,2,119978,34969,527,246,281,0
openclaw,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/GAIA_Trace/run2/traces/019_a1e91b78-d3d8-4675-bb8d-62741b4b68a6.json,True,stop,4,3,2,40531,12275,559,320,239,0
