workload,trace_id,scale_selected,node_id,call_index,trace_llm_calls,prompt_qwen36_tokens,input_nemotron_tokens,output_recorded_tokens,output_reasoning_tokens,output_nonreasoning_tokens,output_unknown_tokens,capture_llm_phase_seconds
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,True,llm-001,1,6,7122,7724,177,125,52,0,3.1480000019073486
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,True,llm-002,2,6,10006,10650,95,41,54,0,1.4530000686645508
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,True,llm-003,3,6,35280,36930,77,21,56,0,1.9180002212524414
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,True,llm-004,4,6,38260,39996,213,161,52,0,2.932000160217285
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,True,llm-005,5,6,41528,43309,363,307,56,0,4.781000137329102
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,True,llm-006,6,6,44313,46140,433,258,175,0,5.42300009727478
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,True,llm-001,1,6,7126,7729,161,107,54,0,2.259999990463257
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,True,llm-002,2,6,10011,10655,119,61,58,0,1.8340001106262207
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,True,llm-003,3,6,13638,14290,122,77,45,0,1.8469998836517334
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,True,llm-004,4,6,16491,17193,194,136,58,0,2.611999988555908
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,True,llm-005,5,6,18693,19412,162,104,58,0,2.2350001335144043
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,True,llm-006,6,6,20982,21702,265,152,113,0,3.4730000495910645
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,True,llm-001,1,9,7131,7733,425,369,56,0,5.299999952316284
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,True,llm-002,2,9,10195,10841,399,350,49,0,4.953999996185303
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,True,llm-003,3,9,12999,13687,60,19,41,0,1.0839998722076416
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,True,llm-004,4,9,18012,18739,1182,1122,60,0,13.950999975204468
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,True,llm-005,5,9,18199,18914,726,668,58,0,8.587999820709229
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,True,llm-006,6,9,18382,19085,631,576,55,0,7.79200005531311
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,True,llm-007,7,9,18559,19250,503,444,59,0,6.046000003814697
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,True,llm-008,8,9,19040,19727,104,60,44,0,1.5499999523162842
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,True,llm-009,9,9,22360,23065,378,173,205,0,4.8459999561309814
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,True,llm-001,1,7,7163,7767,918,874,44,0,10.914999961853027
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,True,llm-002,2,7,8755,9372,76,37,39,0,1.3469998836517334
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,True,llm-003,3,7,8840,9451,42,8,34,0,0.7430000305175781
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,True,llm-004,4,7,14495,15235,3586,3543,43,0,41.496999979019165
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,True,llm-005,5,7,16101,16846,55,16,39,0,0.9500000476837158
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,True,llm-006,6,7,16186,16925,47,12,35,0,0.9380002021789551
