workload,level,metric,n,mean,min,q25,median,q75,p90,p95,max
openclaw,trace,llm_calls,110,14.454545454545455,1.0,5.0,8.0,17.25,29.10000000000001,49.04999999999997,106.0
openclaw,trace,tool_calls,110,13.572727272727272,0.0,4.0,7.0,17.0,28.10000000000001,48.04999999999997,105.0
openclaw,trace,total_nodes,110,28.027272727272727,1.0,9.0,15.0,35.0,57.20000000000002,97.09999999999994,211.0
openclaw,trace,capture_wall_seconds,110,110.56282727272728,12.548,42.56475,69.01050000000001,169.75625,249.42759999999998,250.5094,611.085
openclaw,trace,prompt_qwen36_total_tokens,110,696972.0636363636,7194.0,69636.75,155193.0,530540.5,1345376.5000000019,2786050.55,15564502.0
openclaw,trace,max_prompt_qwen36_tokens,110,41485.37272727273,7194.0,15868.25,30333.0,53324.25,85227.00000000001,107589.59999999999,204889.0
openclaw,trace,output_recorded_total_tokens,110,4117.045454545455,150.0,1321.5,2147.5,4168.75,10277.0,14062.199999999999,37939.0
openclaw,llm_call,prompt_qwen36_tokens,1590,48218.193081761005,7029.0,15293.0,34966.5,67507.75,104273.1,147744.94999999998,204889.0
openclaw,llm_call,output_recorded_tokens,1590,284.82704402515725,23.0,89.0,125.0,228.5,626.3000000000004,959.3999999999996,9389.0
openclaw,llm_call,capture_llm_phase_seconds,1590,6.413798113888914,0.6140000820159912,1.9985000491142273,3.721500039100647,6.958250045776367,13.653600001335152,19.739900112152093,109.51099991798401
openclaw,tool_call,capture_tool_phase_seconds,1493,0.5230864022134217,0.003999948501586914,0.15699982643127441,0.5069999694824219,0.6380000114440918,0.8375998497009276,1.214400053024291,9.954000234603882
minisweagent,trace,llm_calls,61,90.40983606557377,24.0,54.0,77.0,109.0,160.0,201.0,250.0
minisweagent,trace,tool_calls,61,90.37704918032787,24.0,54.0,77.0,109.0,160.0,201.0,250.0
minisweagent,trace,total_nodes,61,180.78688524590163,48.0,108.0,154.0,218.0,320.0,402.0,500.0
minisweagent,trace,capture_wall_seconds,61,513.6671147540984,125.169,272.179,379.904,536.151,909.506,1217.369,3736.221
minisweagent,trace,prompt_qwen36_total_tokens,61,2619139.0163934426,213650.0,786293.0,1486378.0,3291729.0,5505406.0,7534238.0,14408513.0
minisweagent,trace,max_prompt_qwen36_tokens,61,43522.311475409835,14750.0,29373.0,40995.0,56092.0,73904.0,79522.0,107077.0
minisweagent,trace,output_recorded_total_tokens,61,16816.67213114754,3226.0,9296.0,13703.0,21818.0,31195.0,40548.0,51759.0
minisweagent,llm_call,prompt_qwen36_tokens,5515,28969.624660018133,1376.0,12709.5,24893.0,41242.0,57951.20000000001,67886.5,107077.0
minisweagent,llm_call,output_recorded_tokens,5515,186.00489573889394,32.0,60.0,79.0,194.0,437.0,650.9000000000005,4096.0
minisweagent,llm_call,capture_llm_phase_seconds,5511,4.436512906675524,0.6408417224884033,1.2061132192611694,1.9900767803192139,4.486784338951111,9.056003093719482,14.145563125610352,217.73985958099365
minisweagent,tool_call,capture_tool_phase_seconds,5453,0.8744616059016989,0.4422006607055664,0.4513576030731201,0.4751293659210205,0.706594705581665,1.0295094013214114,1.4765765666961665,60.07372188568115
