workload,trace_id,scale_selected,origin,split,agent_status,trace_path,native_source_path,llm_calls,tool_calls,total_nodes,unique_tools,capture_wall_seconds,llm_phase_seconds,tool_phase_seconds,other_unattributed_seconds,timestamped_span_seconds,missing_timestamp_events,prompt_qwen36_total_tokens,max_prompt_qwen36_tokens,input_nemotron_known_tokens,input_nemotron_missing_calls,output_recorded_total_tokens,output_reasoning_known_tokens,output_nonreasoning_known_tokens,output_unknown_tokens
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,True,existing,validation,success,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/scale-20260908-collected/openclaw/traces/c61d22de-5f6c-4958-a7f6-5e9707bd3466/trace.json,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/openclaw-gaia/fixed-first30-7576424/tasks/001_c61d22de-5f6c-4958-a7f6-5e9707bd3466,6,5,11,2,76.669,19.655000686645508,1.7029993534088135,55.310999959945676,21.35800004005432,0,176509,44313,184749,0,1358,913,445,0
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,True,existing,validation,success,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/scale-20260908-collected/openclaw/traces/17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc/trace.json,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/openclaw-gaia/fixed-first30-7576424/tasks/002_17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,6,5,11,2,27.896,14.261000156402588,2.919999837875366,10.715000005722047,17.180999994277954,0,86941,20982,90981,0,1023,637,386,0
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,True,existing,validation,success,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/scale-20260908-collected/openclaw/traces/04a04a9b-226c-43fd-b319-d5e89743676f/trace.json,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/openclaw-gaia/fixed-first30-7576424/tasks/003_04a04a9b-226c-43fd-b319-d5e89743676f,9,8,17,2,69.844,54.110999584198,5.426000356674194,10.307000059127802,59.53699994087219,0,144877,22360,151041,0,4408,3781,627,0
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,True,existing,validation,success,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/scale-20260908-collected/openclaw/traces/14569e28-c88c-43e4-8c32-097d35b9a67d/trace.json,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/openclaw-gaia/fixed-first30-7576424/tasks/004_14569e28-c88c-43e4-8c32-097d35b9a67d,7,6,13,2,99.331,86.28700017929077,2.7619998455047607,10.28199997520447,89.04900002479553,0,92862,21322,97673,0,7289,6828,461,0
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,True,existing,validation,success,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/scale-20260908-collected/openclaw/traces/e1fc63a2-da7a-432f-be78-7c4a95598703/trace.json,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/openclaw-gaia/fixed-first30-7576424/tasks/005_e1fc63a2-da7a-432f-be78-7c4a95598703,7,9,16,2,41.049,27.82100009918213,3.0409998893737793,10.187000011444091,30.861999988555908,0,184813,38749,188874,0,2089,1380,709,0
openclaw,32102e3e-d12a-4209-9163-7b3a104efe5d,True,existing,validation,success,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/scale-20260908-collected/openclaw/traces/32102e3e-d12a-4209-9163-7b3a104efe5d/trace.json,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/openclaw-gaia/fixed-first30-7576424/tasks/006_32102e3e-d12a-4209-9163-7b3a104efe5d,3,2,5,1,23.34,10.36300015449524,2.868000030517578,10.108999814987182,13.231000185012817,0,23029,8410,24805,0,814,195,619,0
openclaw,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,True,existing,validation,success,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/scale-20260908-collected/openclaw/traces/8e867cd7-cff9-4e6c-867a-ff5ddc2550be/trace.json,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/openclaw-gaia/fixed-first30-7576424/tasks/007_8e867cd7-cff9-4e6c-867a-ff5ddc2550be,5,4,9,3,22.946,10.376000165939331,2.3339998722076416,10.235999961853029,12.710000038146973,0,73926,20278,76865,0,734,378,356,0
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,True,existing,validation,success,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/scale-20260908-collected/openclaw/traces/3627a8be-a77f-41bb-b807-7e1bd4c0ebdf/trace.json,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/openclaw-gaia/fixed-first30-7576424/tasks/008_3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,9,8,17,2,29.817,16.646000146865845,3.116999864578247,10.053999988555908,19.763000011444092,0,127879,20066,134129,0,1169,600,569,0
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,True,existing,validation,success,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/scale-20260908-collected/openclaw/traces/7619a514-5fa8-43ef-9143-83b66a43d7a4/trace.json,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/openclaw-gaia/fixed-first30-7576424/tasks/009_7619a514-5fa8-43ef-9143-83b66a43d7a4,12,11,23,2,41.392,25.05899977684021,6.572000026702881,9.761000196456912,31.63099980354309,0,281470,39281,294527,0,1681,1104,577,0
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,True,existing,validation,success,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/datasets/scale-20260908-collected/openclaw/traces/676e5e31-a554-4acc-9286-b60d90a92d26/trace.json,/lus/eagle/projects/lc-mpi/ZhijingYe/SIGMETRICS_2027/trace_framework/runs/openclaw-gaia/fixed-first30-7576424/tasks/011_676e5e31-a554-4acc-9286-b60d90a92d26,29,28,57,2,201.234,180.09100008010864,12.21399998664856,8.928999933242807,192.3050000667572,0,2801351,204889,2907201,0,13829,11695,2134,0
