cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
1,0,1,60,59.164470195770264,93.51896470452229,4351.8516966016405,82.64258665889892,0.0,0.0,0.6166666666666667,0.0,1.1971701580301357,1
1,1,2,60,59.16156244277954,151.31446213338742,4820.224284573543,95.90843420812702,0.0,0.0,0.9,0.0,2.4182285924292546,0
1,2,3,60,59.15688872337341,51.23663643254492,4496.128950319697,79.20684871248265,0.0,0.0,0.36666666666666664,0.0,0.7382396177875783,2
1,3,4,60,59.15972828865051,51.859602617353126,2098.420726246236,74.00557426173253,0.0,0.0,0.35,0.0,0.3597023153252482,2
1,4,5,59,58.15775465965271,61.16123328378236,3206.1072696356646,84.95119596696343,0.0,0.0,0.3898305084745763,0.0,0.3017958253134754,2
1,5,6,60,59.16757774353027,61.537080591373844,14476.391170055264,93.39044730325627,0.0,0.0,0.38333333333333336,0.0,0.5705622932745311,1
1,6,7,60,59.169769287109375,74.0073867577848,49740.231125781705,98.49146381490651,0.0,0.0,0.5333333333333333,0.0,2.0856302829841975,0
1,7,8,60,59.20387625694275,79.72450958304428,57456.15346598351,98.95264824744159,0.0,0.0,0.6,0.0,3.2134325615582506,0
1,8,9,60,59.16028189659119,32.792271061030604,4026.535918411939,87.10932744499624,0.0,0.0,0.23333333333333334,0.0,0.4924660051451672,3
1,9,10,60,59.1615424156189,81.70848498236252,7340.647019462211,87.65876707408056,0.0,0.0,0.5333333333333333,0.0,0.8461962513781696,1
1,10,11,59,58.15997791290283,69.54954498190436,15047.564173951376,92.00540240365828,0.0,0.0,0.4745762711864407,0.0,1.1810214340440648,1
1,11,12,60,59.16784691810608,52.3088157032953,10370.226938446121,94.39881092075413,0.0,0.0,0.3,0.0,0.5618338846012496,2
1,12,13,60,59.18868041038513,56.024225865629894,9394.330066909866,86.03153021915769,0.0,0.0,0.43333333333333335,0.0,0.5044101433296583,1
1,13,14,60,59.164196491241455,52.447260066472154,30627.188527241295,95.5355007514368,0.0,0.0,0.4,0.0,1.1599595736861446,1
1,14,15,60,59.250059366226196,70.80161682321014,4426.290923676149,86.36991054610345,0.0,0.0,0.45,0.0,0.35373024623300237,2
1,15,16,59,58.1634316444397,56.994573846072356,3984.634218571864,86.80013807386952,0.0,0.0,0.3389830508474576,0.0,0.36439743613701303,2
1,16,17,60,59.16144347190857,48.52822770227416,5429.583545447547,75.94000410930758,0.0,0.0,0.3,0.0,0.405181918412348,2
1,17,18,60,59.17397904396057,74.71189315688274,1457.27905057622,85.72124360743567,0.0,0.0,0.4666666666666667,0.0,0.3183572216097021,2
1,18,19,60,59.16732430458069,40.68123796860038,4946.98726772303,84.78305432183123,0.0,0.0,0.23333333333333334,0.0,0.33765159867695704,2
1,19,20,60,59.1875159740448,62.81730089214144,16256.92486270165,90.32235267463238,0.0,0.0,0.4,0.0,0.8034729878721055,1
1,20,21,60,59.1675546169281,132.04872248961706,956.7912746524654,75.5471551465263,0.0,0.0,0.7833333333333333,0.0,0.8746784270488788,1
1,21,22,59,58.16449284553528,165.7540456099764,802.8781429250377,83.66774449131672,0.0,0.0,0.9830508474576272,0.0,1.3847102573206502,0
1,22,23,60,59.162331342697144,78.85084806712635,3147.357377135962,81.6648317714347,0.0,0.0,0.4666666666666667,0.0,0.702866593164277,2
1,23,24,60,59.16395139694214,53.123564700961545,8389.162459247995,82.86966893394798,0.0,0.0,0.36666666666666664,0.0,0.5604557148107314,1
1,24,25,60,59.16737198829651,84.3539240003297,18740.987857620836,93.18585387629582,0.0,0.0,0.5333333333333333,0.0,1.6207276736493932,1
1,25,26,60,59.17159724235535,76.57390050570895,13778.468690995689,94.55239459630513,0.0,0.0,0.48333333333333334,0.0,0.8990260933480342,1
1,26,27,60,59.16730284690857,77.79634660565742,10353.454873294211,93.17352992069685,0.0,0.0,0.48333333333333334,0.0,0.9275082690187435,1
1,27,28,59,58.16529560089111,50.82068215182789,2685.79396676541,77.3985405197798,0.0,0.0,0.3050847457627119,0.0,0.3672004933380675,2
1,28,29,60,59.170440912246704,78.29923063901138,11778.482452642202,90.7604406704757,0.0,0.0,0.55,0.0,1.2936420433664098,1
1,29,30,60,59.16207218170166,61.15404458600112,3581.0104715285233,81.85077133414433,0.0,0.0,0.38333333333333336,0.0,0.40793825799338435,2
2,0,1,60,59.15693140029907,145.98458364181377,5803.411229647797,84.8953721396281,0.0,0.0,1.0666666666666667,0.0,2.5332965922660033,3
2,1,2,60,59.1602201461792,103.63382666343854,7685.637390741949,85.9128283655832,0.0,0.0,0.75,0.0,0.6030127675208972,3
2,2,3,60,59.16131353378296,123.94924253689243,41063.65891644289,96.15095209477315,0.0,0.0,1.0333333333333334,0.0,2.234775420225958,1
2,3,4,59,58.33967113494873,101.83465015182453,56435.69694426413,98.59444992269505,0.0,0.0,0.7966101694915254,0.0,2.7504425274740676,3
2,4,5,60,59.16273736953735,150.24659769338038,39031.409002873486,95.7358051797047,0.0,0.0,1.2833333333333334,0.0,4.079177000091852,1
2,5,6,60,59.1593279838562,103.73681056138275,23007.276221451077,92.56401046277718,0.0,0.0,0.7333333333333333,0.016666666666666666,1.3865160282906213,3
2,6,7,60,59.15821099281311,86.66590679395051,37729.453993650306,92.76612270577178,0.0,0.0,0.7833333333333333,0.016666666666666666,1.7690823918434833,3
2,7,8,60,59.158398151397705,130.98731950396663,8944.731712406887,86.41081269039753,0.0,0.0,0.85,0.0,0.7224212363369161,3
2,8,9,60,59.15493440628052,116.0004667213604,5022.691732854916,77.65829622673895,0.0,0.0,0.85,0.0,0.8014145310921292,4
2,9,10,59,58.15074324607849,107.90919685146358,13756.24721793982,86.09209235155802,0.0,0.0,0.9661016949152542,0.0,1.0877535483931229,3
2,10,11,60,59.16050672531128,179.96803254974114,11716.870567361639,88.65891061117489,0.0,0.0,1.3666666666666667,0.0,2.107559474602737,2
2,11,12,60,59.16215801239014,189.73276799080224,10311.405474293893,85.33927824996516,0.0,0.0,1.5166666666666666,0.0,2.07449251400753,1
