cc,tool_name,capture_error,replay_error,calls
1,exec,False,False,68
1,exec,False,True,1
1,exec,True,False,3
1,exec,True,True,6
1,read,False,False,6
1,web_fetch,False,False,126
1,web_fetch,True,True,34
1,web_search,False,False,265
1,write,False,False,2
2,exec,False,False,139
2,exec,False,True,2
2,exec,True,False,3
2,exec,True,True,9
2,read,False,False,6
2,web_fetch,False,False,284
2,web_fetch,True,False,1
2,web_fetch,True,True,64
2,web_search,False,False,462
2,write,False,False,3
4,edit,False,False,1
4,exec,False,False,256
4,exec,False,True,1
4,exec,True,False,6
4,exec,True,True,21
4,read,False,False,12
4,web_fetch,False,False,383
4,web_fetch,False,True,3
4,web_fetch,True,False,1
4,web_fetch,True,True,82
4,web_search,False,False,667
4,write,False,False,6
8,edit,False,False,1
8,exec,False,False,369
8,exec,False,True,2
8,exec,True,False,5
8,exec,True,True,28
8,read,False,False,15
8,web_fetch,False,False,494
8,web_fetch,False,True,5
8,web_fetch,True,False,1
8,web_fetch,True,True,119
8,web_search,False,False,946
8,write,False,False,7
16,edit,False,False,2
16,exec,False,False,435
16,exec,False,True,2
16,exec,True,False,6
16,exec,True,True,40
16,read,False,False,18
16,web_fetch,False,False,630
16,web_fetch,False,True,2
16,web_fetch,True,False,2
16,web_fetch,True,True,145
16,web_search,False,False,1188
16,write,False,False,8
32,edit,False,False,1
32,exec,False,False,319
32,exec,False,True,1
32,exec,True,False,3
32,exec,True,True,32
32,read,False,False,13
32,web_fetch,False,False,504
32,web_fetch,False,True,1
32,web_fetch,True,False,1
32,web_fetch,True,True,114
32,web_search,False,False,823
32,write,False,False,7
64,edit,False,False,1
64,exec,False,False,167
64,exec,False,True,2
64,exec,True,False,6
64,exec,True,True,13
64,read,False,False,11
64,web_fetch,False,False,318
64,web_fetch,True,True,70
64,web_search,False,False,463
64,write,False,False,7
