trace_id,cc,n_replays,admission_phase,mean_lifecycle_s,ratio_to_cc1
django__django-11049,1,1,measurement,148.16647452500183,1.0
django__django-11049,2,1,measurement,159.05045374005567,1.073457772751536
django__django-11049,4,1,warmup,186.63093383796513,1.2596029866828797
django__django-11049,8,1,warmup,235.35161250806414,1.588426891188199
django__django-11049,16,1,warmup,306.39517629507463,2.0679116330285168
django__django-11049,32,1,warmup,435.4461496799486,2.938897959716729
django__django-11049,64,1,warmup,2140.821616330999,14.448758554822424
django__django-11422,1,1,measurement,184.52026825596113,1.0
django__django-11422,2,1,measurement,203.2439444269985,1.1014721924480644
django__django-11422,4,1,measurement,234.5788703240687,1.2712905337784777
django__django-11422,8,1,warmup,303.95871958800126,1.6472917715812043
django__django-11422,16,1,warmup,403.8147142640082,2.188457225218469
django__django-11422,32,1,warmup,586.7884490709985,3.1800758508383624
django__django-11422,64,1,warmup,3234.63321968494,17.529961614828952
django__django-11630,1,1,measurement,276.9351276929956,1.0
django__django-11630,2,1,measurement,308.9361822899664,1.1155543352826172
django__django-11630,4,1,measurement,367.81331358500756,1.3281569465349936
django__django-11630,8,1,warmup,475.12034813594073,1.715637709430091
django__django-11630,16,1,warmup,653.5495997620746,2.3599375247425667
django__django-11630,32,1,warmup,1003.8040995009942,3.624690402633898
django__django-11630,64,1,warmup,4963.048003949923,17.921337915108598
django__django-11815,1,1,measurement,189.50022254593205,1.0
django__django-11815,2,1,warmup,205.44343283795752,1.0841329370373751
django__django-11815,4,1,warmup,242.3962287909817,1.2791342697881447
django__django-11815,8,1,warmup,307.6491571050137,1.6234764950233456
django__django-11815,16,1,warmup,402.5975688069593,2.124522934052891
django__django-11815,32,1,warmup,586.4818508789176,3.094887399072912
django__django-11815,64,1,warmup,3624.499029787956,19.12662149464986
marshmallow-code__marshmallow-1359,1,1,warmup,137.54490238497965,1.0
marshmallow-code__marshmallow-1359,2,1,warmup,142.34760280803312,1.0349173276491992
marshmallow-code__marshmallow-1359,4,1,warmup,163.94523655693047,1.191939749959311
marshmallow-code__marshmallow-1359,8,1,warmup,194.4713006890379,1.4138750133009277
marshmallow-code__marshmallow-1359,16,1,warmup,247.17571851494722,1.7970547379728965
marshmallow-code__marshmallow-1359,32,1,warmup,343.4658130010357,2.49711771970797
marshmallow-code__marshmallow-1359,64,1,warmup,1237.3285316909896,8.995815259134677
pyvista__pyvista-4315,1,1,measurement,225.18396196397953,1.0
pyvista__pyvista-4315,2,1,measurement,240.14196069003083,1.0664256841188537
pyvista__pyvista-4315,4,1,warmup,243.132218797924,1.0797048629813852
pyvista__pyvista-4315,8,1,warmup,312.26000290492084,1.386688466538616
pyvista__pyvista-4315,16,1,warmup,431.4948810179485,1.9161883344381805
pyvista__pyvista-4315,32,1,warmup,575.5223867149325,2.555787640005167
pyvista__pyvista-4315,64,1,warmup,3366.8339650719427,14.951482049198965
sqlfluff__sqlfluff-1517,1,1,measurement,429.755668595084,1.0
sqlfluff__sqlfluff-1517,2,1,measurement,463.50869271799456,1.078540032370609
sqlfluff__sqlfluff-1517,4,1,measurement,520.7670508360025,1.2117747103568037
sqlfluff__sqlfluff-1517,8,1,warmup,616.3388717198977,1.4341611216782169
sqlfluff__sqlfluff-1517,16,1,warmup,782.4643721699249,1.820719141943799
sqlfluff__sqlfluff-1517,32,1,warmup,1125.456016134005,2.6188276231776952
sqlfluff__sqlfluff-1517,64,1,warmup,5018.909266505041,11.678517895790364
sqlfluff__sqlfluff-1763,1,1,measurement,344.8252764410572,1.0
sqlfluff__sqlfluff-1763,2,1,measurement,368.1453335400438,1.0676286185852526
sqlfluff__sqlfluff-1763,4,1,measurement,446.108578817104,1.2937235443451016
sqlfluff__sqlfluff-1763,8,1,warmup,562.0631430150243,1.6299940329667237
sqlfluff__sqlfluff-1763,16,1,warmup,760.9843107500346,2.206869283493821
sqlfluff__sqlfluff-1763,32,1,warmup,1166.5608554830542,3.3830491416497437
sqlfluff__sqlfluff-1763,64,1,warmup,5036.192491802038,14.605056055578629
