cc,tool_name,capture_error,replay_error,calls
1,bash,False,False,598
1,bash,False,True,2
1,bash,True,False,15
1,bash,True,True,86
2,bash,False,False,1060
2,bash,False,True,2
2,bash,True,False,18
2,bash,True,True,159
4,bash,False,False,2026
4,bash,False,True,2
4,bash,True,False,22
4,bash,True,True,244
8,bash,False,False,3328
8,bash,False,True,14
8,bash,True,False,34
8,bash,True,True,345
16,bash,False,False,4762
16,bash,False,True,17
16,bash,True,False,70
16,bash,True,True,576
32,bash,False,False,6101
32,bash,False,True,22
32,bash,True,False,87
32,bash,True,True,734
64,bash,False,False,2883
64,bash,False,True,5
64,bash,True,False,40
64,bash,True,True,443
