workload,physical_nodes,replica,output_tokens_s,prompt_reuse_pct
openclaw,2,r00,433.58444444444444,93.94768856664717
openclaw,4,r00,432.9766666666667,93.90363266313939
openclaw,4,r01,436.06083333333333,93.88642803852561
openclaw,16,r00,435.055,94.16392709055715
openclaw,16,r01,436.16805555555555,93.74114245965072
openclaw,16,r02,438.22194444444443,93.9649730833479
openclaw,16,r03,447.7888888888889,93.97560981220798
openclaw,16,r04,440.5075,94.1998808648639
openclaw,16,r05,437.3811111111111,93.92602009668045
openclaw,16,r06,440.49333333333334,93.9797405005361
openclaw,16,r07,435.0702777777778,93.97167451770314
openclaw,32,r00,435.5938888888889,94.08734063924491
openclaw,32,r01,436.2536111111111,93.84858117084555
openclaw,32,r02,438.7627777777778,93.97381616098934
openclaw,32,r03,447.9175,93.960991834205
openclaw,32,r04,439.3286111111111,94.12339887165072
openclaw,32,r05,437.8011111111111,94.00813952381186
openclaw,32,r06,439.8697222222222,93.92820457090498
openclaw,32,r07,435.6222222222222,93.95533099012671
openclaw,32,r08,442.7988888888889,93.98986908981493
openclaw,32,r09,432.0672222222222,93.84968803640551
openclaw,32,r10,441.1747222222222,94.09809746147224
openclaw,32,r11,443.6252777777778,93.92307270088587
openclaw,32,r12,435.0394444444444,93.91723015321057
openclaw,32,r13,442.785,93.97891654514358
openclaw,32,r14,443.1163888888889,94.10765760472528
openclaw,32,r15,436.03555555555556,93.54550339866913
minisweagent,2,r00,722.1357407407407,95.62109744487783
minisweagent,4,r00,721.8814814814815,95.65995315952817
minisweagent,4,r01,699.6968518518519,94.95159333841849
minisweagent,16,r00,721.3724074074074,95.67418414100227
minisweagent,16,r01,705.447962962963,94.99840203387406
minisweagent,16,r02,704.6946296296296,95.20361148651698
minisweagent,16,r03,718.5761111111111,95.68905836966296
minisweagent,16,r04,714.9166666666666,95.48247077129776
minisweagent,16,r05,701.2905555555556,95.22662445046932
minisweagent,16,r06,718.5161111111111,95.68738816177085
minisweagent,16,r07,714.967037037037,95.61895600805373
minisweagent,32,r00,719.6735185185186,95.70727755614445
minisweagent,32,r01,700.6631481481481,94.92803231459597
minisweagent,32,r02,707.9096296296296,95.27303073289849
minisweagent,32,r03,717.5501851851852,95.76448024495541
minisweagent,32,r04,713.4840740740741,95.47857903930367
minisweagent,32,r05,709.9424074074074,95.40834424477214
minisweagent,32,r06,721.1396296296297,95.71813527747402
minisweagent,32,r07,713.2690740740741,95.56416652471626
minisweagent,32,r08,715.1079629629629,95.67023857290268
minisweagent,32,r09,717.072037037037,95.7860216585572
minisweagent,32,r10,716.9653703703704,95.78893336726104
minisweagent,32,r11,712.6383333333333,95.55648689981088
minisweagent,32,r12,718.7522222222223,95.58256920556842
minisweagent,32,r13,718.8609259259259,95.7036191662201
minisweagent,32,r14,721.7203703703703,95.63299036051194
minisweagent,32,r15,722.1003703703703,95.78850444821462
