run,workload,replica,minute_from_warmup_start,measurement_minute,requests,prefix_reuse,prompt_tokens_mean,uncached_tokens_mean,queue_seconds_mean,prefill_seconds_mean,decode_seconds_mean,residence_seconds_mean
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,0,-10.0,37,0.3850235832953251,9895.918918918918,6085.756756756757,0.16048273502698018,0.7814119517538898,10.589921140086812,11.531815857500643
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,1,-9.0,109,0.684984899783291,25642.1376146789,8077.660550458716,0.012440307678894029,0.423447377334665,5.818291970851208,6.254179657052417
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,2,-8.0,106,0.7817282764155441,29999.132075471698,6547.962264150943,0.030749103647463444,0.39942751868786114,4.729515727609396,5.159692339177401
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,3,-7.0,95,0.7608108100423806,37022.88421052632,8855.473684210527,0.17227223256455831,0.618627617638068,7.297588630790185,8.088488455822594
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,4,-6.0,85,0.8276016721908995,40921.30588235294,7054.764705882353,0.05627619844642194,0.43859632006462884,5.215274253665634,5.710146769355325
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,5,-5.0,78,0.8475822983238877,49332.717948717946,7519.179487179487,0.03122075881737356,0.4855969675506155,6.216382300260309,6.733200039619055
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,6,-4.0,65,0.8113514119229045,48326.89230769231,9116.8,0.06188424480720781,0.47784254202404275,4.880049586912187,5.419776369975163
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,7,-3.0,43,0.8571065792907882,52749.023255813954,7537.488372093023,3.4513569242039394e-06,0.3930752651419404,5.799260256102655,6.192338971204536
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,8,-2.0,34,0.7219425521807299,45753.029411764706,12721.970588235294,0.18459387855631681,0.6743390333482667,5.887222041417023,6.746154946439407
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,9,-1.0,47,0.7862567916823294,38148.97872340425,8154.085106382979,3.289574995002848e-06,0.35651213811472693,3.71369762577493,4.070213033797893
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,10,0.0,43,0.8556358841855858,52050.395348837206,7514.209302325581,5.18708229931288e-06,0.36212318455583825,1.7357731281270727,2.0979015328163326
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,11,1.0,33,0.7778544004031291,39328.69696969697,8736.69696969697,6.330446481253162e-06,0.37905040672613366,4.0417399706290755,4.420796712239583
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,12,2.0,30,0.8387765818821159,42847.166666666664,6907.966666666666,6.224618603785833e-06,0.3269828929876288,2.380904679768719,2.7078938086827598
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,13,3.0,30,0.8188074101147522,55176.833333333336,9997.633333333333,1.3675051741302014e-05,0.45743889743462207,1.199751744993652,1.657204302151998
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,14,4.0,34,0.8736601607202404,51067.91176470588,6451.911764705882,4.850540255360743e-06,0.36346410651800826,3.252891875419985,3.6163608326631436
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,15,5.0,39,0.7162428135914773,57386.64102564102,16283.871794871795,0.726235180006673,0.9731129884230307,4.855645722930487,6.554993873987442
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,16,6.0,31,0.6257359458482503,39087.290322580644,14628.967741935483,0.1796138708915321,0.6772430639098128,2.840820774728913,3.697677719977594
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,17,7.0,35,0.7868471953578337,51995.42857142857,11082.971428571429,0.041134818536894664,0.5130835758721722,2.6956283625947046,3.249846751349313
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,18,8.0,45,0.7891668908618061,39400.2,8306.866666666667,7.705085186494721e-06,0.4002368297427893,2.316219531982723,2.716464074452718
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,19,9.0,50,0.7281100526738729,40145.14,10915.06,0.5620957312406972,0.6499982635118067,3.8427883874811233,5.054882364273071
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,20,10.0,43,0.6549456503681667,27297.418604651164,9419.093023255815,0.1418463848747833,0.43738738934206234,2.4149966708676844,2.9942304256350494
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,21,11.0,41,0.7278624716185533,33988.19512195122,9249.463414634147,0.027523958970361005,0.4112762218943184,1.7869218798501916,2.225722033803056
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,22,12.0,46,0.8875845898455582,40386.69565217391,4540.086956521739,5.850209044697492e-06,0.23769681848099697,1.8650591998644497,2.1027618853942207
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,23,13.0,36,0.7596226167526936,41917.305555555555,10075.972222222223,5.220088900791274e-06,0.4876589875202626,2.550069635772767,3.037733839617835
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,24,14.0,42,0.8403198369587548,43459.642857142855,6939.642857142857,5.744608296524911e-06,0.32836331110558514,2.063817047613806,2.39218609105973
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,25,15.0,31,0.8754230944371433,49729.6129032258,6195.1612903225805,9.817168897678776e-06,0.3126182998155033,1.544276844544877,1.8569049450658983
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,26,16.0,31,0.8563316466827134,47616.16129032258,6840.935483870968,8.059199899435043e-06,0.33865247578960994,3.024401603063809,3.3630621356348835
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,27,17.0,30,0.796284959161428,53576.8,10914.4,0.050891581418303154,0.5693696276051924,2.3757541776479534,2.9960153738657636
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,28,18.0,32,0.8303557692360714,56672.09375,9614.09375,8.508533937856555e-06,0.4224788000356057,1.576298517124087,1.9987858012318611
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,29,19.0,23,0.7476679424057633,39976.82608695652,10087.434782608696,8.26006188340809e-06,0.42746147086195974,1.5895636523770087,2.017033400742904
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,30,20.0,25,0.8819911670953102,61325.24,7236.92,3.644758835434914e-06,0.4406310292519629,6.247045511836186,6.687680196762085
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,31,21.0,28,0.7188113532249073,35363.142857142855,9943.714285714286,4.628930972622973e-06,0.44830819975218866,2.409870836526222,2.8581836564200267
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,32,22.0,25,0.7080625988827968,66695.12,19470.8,0.14319815293885768,1.0495956817176193,2.3200944567099215,3.5128883075714112
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,33,23.0,25,0.7459234365867914,43801.6,11128.96,0.014703061571344734,0.5178173976391554,2.6392957701999693,3.17181622505188
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r00,34,24.0,32,0.859786689543161,51872.75,7273.25,0.019321163730637636,0.4116877197375288,2.997782211728918,3.4287910759449005
