run,root,group,batch,workload,backends,frontends,physical_nodes_used,cc_per_backend,status,raw_valid,raw_steady,raw_collection_complete,worker_completion_verified,duration_seconds,measurement_start_unix,measurement_end_unix,completed_tasks_in_window,true_admissions_in_window,cancelled_admissions,failed_tasks,output_tokens,output_tokens_s,tasks_per_minute,prompt_tokens,cached_prompt_tokens,prefix_reuse,uncached_prompt_per_output,frontend_cpu_mean_percent,replica_output_cv,sampling_method,ttft_seconds_mean,ttft_seconds_p50,ttft_seconds_p95,task_lifecycle_seconds_mean,task_lifecycle_seconds_p50,task_lifecycle_seconds_p95,ttft_seconds,task_lifecycle_seconds,tool_latency_seconds,execution_seconds_mean,backend_latency
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,routing_rr,new,openclaw,4,1,5,16,complete_nonsteady,True,False,True,True,3600.0,1790011134.784058,1790014734.784058,546,546,0,0,2212517,614.5880555555556,9.1,365212943,231836352,0.6347977431895123,60.28274178232303,4.958334045889796,0.057474417393160664,full measurement window; 60s bins; gauges averaged across samples and replicas,7.532912850437824,0.5043431819649413,43.51864966477732,402.6368360358159,224.67754270753358,1505.1996673339163,,,,,
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,routing_cache,new,openclaw,4,1,5,16,complete_steady,True,True,True,True,3600.0,1790011134.3432715,1790014734.3432715,1416,1416,0,0,5826572,1618.4922222222222,23.6,980664293,888263904,0.905777757322709,15.858447986225864,13.6014937336555,0.11490862869756681,full measurement window; 60s bins; gauges averaged across samples and replicas,0.6776712756804807,0.4400370579678565,1.945222903182729,161.08690549109835,98.8704283030238,558.4276109280763,,,,,
minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,routing_rr,new,minisweagent,4,1,5,32,window_only_drain_timeout,False,,False,False,5400.0,1790011115.527821,1790016515.527821,235,235,36,0,4188219,775.5961111111111,2.611111111111111,654549170,389393664,0.5949036097624263,63.30984745544586,11.830471755534067,0.02538622985689877,full measurement window; 60s bins; gauges averaged across samples and replicas,,,,,,,,,,,
minisweagent-routing-n4-cache_aware-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/minisweagent-routing-n4-cache_aware-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,routing_cache,new,minisweagent,4,1,5,32,complete_steady,True,True,True,True,5400.0,1790011115.8868446,1790016515.8868446,786,786,0,0,13028431,2412.6724074074073,8.733333333333333,2015108964,1784973696,0.8857951246749552,17.66408157666875,38.41554539627206,0.0533132090289018,full measurement window; 60s bins; gauges averaged across samples and replicas,0.6864274809872501,0.37822775985114276,2.3048826979938895,849.1575611628543,734.3252380114282,1916.0189167021308,,,,,
openclaw-fixed_frontend-n8-7642787.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-fixed_frontend-n8-7642787.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,fixed_sticky,new,openclaw,8,1,9,16,complete_steady,True,True,True,True,3600.0,1790011124.3283682,1790014724.3283682,3044,3044,0,0,12431607,3453.224166666667,50.733333333333334,2094422307,1968236160,0.9397513354502293,10.150429224475968,35.43319517793644,0.010505809824245245,full measurement window; 60s bins; gauges averaged across samples and replicas,0.5103543825730907,0.44628132740035653,0.9889285846729762,149.89784304049806,89.90726925700437,479.05434342809,,,,,
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,fixed_sticky,new,minisweagent,8,1,9,32,complete_steady,True,True,True,True,5400.0,1790011112.7426138,1790016512.7426138,1679,1679,0,0,28401053,5259.454259259259,18.655555555555555,4398787576,4250841408,0.9663666031960257,5.209178969526236,95.79368564633464,0.007370039456915925,full measurement window; 60s bins; gauges averaged across samples and replicas,0.3362827796788126,0.2906528178136796,0.5257259500212967,798.5497201521664,684.9306059940718,1639.692069605342,,,,,
openclaw-fixed_frontend-n2-7637010.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-fixed_frontend-n2-7637010.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,fixed_sticky,earlier,openclaw,2,1,3,16,complete_steady,True,True,True,True,3600.0,1789868185.391215,1789871785.391215,767,767,0,0,3128293,868.9702777777778,12.783333333333333,531441071,499420416,0.93974749648207,10.235823498630083,6.769962574061531,0.0036419222879698313,full measurement window; 60s bins; gauges averaged across samples and replicas,0.5168798975940458,0.45288190618157387,0.9708982514217496,149.35742894117053,87.6328623869922,480.9129366689593,,,,,
openclaw-fixed_frontend-n4-7637012.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-fixed_frontend-n4-7637012.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,fixed_sticky,earlier,openclaw,4,1,5,16,complete_steady,True,True,True,True,3600.0,1789913778.6088402,1789917378.6088402,1534,1534,0,0,6289968,1747.2133333333334,25.566666666666666,1062327703,998077872,0.9395197632344904,10.214651489482936,14.723789508787132,0.012960033657870816,full measurement window; 60s bins; gauges averaged across samples and replicas,0.5162892560953719,0.4485874050296843,0.9939656925387679,149.48714351814849,87.87184188258834,486.2982339224311,,,,,
minisweagent-fixed_frontend-n2-7637011.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/minisweagent-fixed_frontend-n2-7637011.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,fixed_sticky,earlier,minisweagent,2,1,3,32,complete_steady,True,True,True,True,5400.0,1789868138.0701385,1789873538.0701385,456,456,0,0,7696900,1425.351851851852,5.066666666666666,1192645591,1138058592,0.9542303267526187,7.0920759006872895,21.23899214186993,0.012395120113292427,full measurement window; 60s bins; gauges averaged across samples and replicas,0.3914497330992674,0.3132438035681844,0.8297066875151359,733.3525903087534,611.9370862074429,1641.9375440371805,,,,,
openclaw-balanced-n1-7608115.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-balanced-n1-7608115.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,balanced,historical,openclaw,1,1,2,16,complete_steady,True,True,,True,3600.0,1789422522.3733726,1789426122.3733726,366,366,0,0,1560904,433.58444444444444,6.1,266259613,250144752,0.9394768856664717,10.324056444214378,3.203142151436229,0.0,full measurement window; 60s bins; gauges averaged across samples and replicas,0.5246732100278015,0.4503507814370096,1.0323064474039712,156.9456024838356,89.15187070053071,522.1099162295577,,,,,
openclaw-balanced-n4-7616566.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-balanced-n4-7616566.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,balanced,historical,openclaw,4,4,8,16,complete_steady,True,True,,True,3600.0,1789613062.3450513,1789616662.3450513,1536,1536,0,0,6310683,1752.9675,25.6,1067227478,1002654048,0.9394942209312193,10.232399567527002,3.3367143131182577,0.012486972983696132,full measurement window; 60s bins; gauges averaged across samples and replicas,0.5164232296051038,0.45021764002740383,1.00215085609816,148.40491993074116,86.73355868342333,484.9424391478533,,,,,
