run,workload,group,start_unix,duration_seconds,output_tokens,completed_tasks,prompt_tokens,cached_prompt_tokens,output_tokens_per_second,tasks_per_second,actual_prefix_reuse,frontend_cpu_percent,minute,tasks_per_minute,waiting_per_replica_mean,running_per_replica_mean,kv_cache_per_replica_mean
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011134.784058,60.0,45171.0,6.0,7076703.0,4765728.0,752.85,0.1,0.6734390294463396,3.5770918241730056,0.0,6.0,2.3541666666666665,12.741666666666667,0.30251388104648974
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011194.784058,60.0,42185.0,12.0,6096275.0,3890304.0,703.0833333333334,0.2,0.6381444406625357,5.690038596775214,1.0,12.0,3.1673640167364017,11.807531380753138,0.2819826162558562
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011254.784058,60.0,43154.0,10.0,5406799.0,3198096.0,719.2333333333333,0.16666666666666666,0.5914952636486024,4.956821890758946,2.0,10.0,2.466386554621849,12.663865546218487,0.2669360234212262
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011314.784058,60.0,31176.0,13.0,5756003.0,3148464.0,519.6,0.21666666666666667,0.5469879011529355,6.439165640724749,3.0,13.0,3.3682008368200838,11.309623430962343,0.2547304432878382
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011374.784058,60.0,40018.0,4.0,6808130.0,4643760.0,666.9666666666667,0.06666666666666667,0.6820903831154811,3.701881327576704,4.0,4.0,2.6333333333333333,12.625,0.2552630340673819
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011434.784058,60.0,39804.0,9.0,8213746.0,5314320.0,663.4,0.15,0.6470032065759034,4.635695465160318,5.0,9.0,2.183333333333333,12.8625,0.27839968003011484
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011494.784058,60.0,28010.0,13.0,5568844.0,3085632.0,466.8333333333333,0.21666666666666667,0.5540884248149167,6.465981236267368,6.0,13.0,2.025,12.666666666666666,0.25344438170525124
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011554.784058,60.0,44972.0,8.0,6328436.0,3815328.0,749.5333333333333,0.13333333333333333,0.6028864003681162,5.4927900068564535,7.0,8.0,0.7615062761506276,14.309623430962343,0.29155336204635823
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011614.784058,60.0,47462.0,18.0,6509362.0,3863376.0,791.0333333333333,0.3,0.5935107004342361,9.370441057409062,8.0,18.0,0.27310924369747897,14.012605042016807,0.28559803367987513
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011674.784058,60.0,61343.0,12.0,7497012.0,4863408.0,1022.3833333333333,0.2,0.6487128471983238,7.252285719174884,9.0,12.0,0.698744769874477,13.732217573221757,0.2715672539212652
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011734.784058,60.0,50975.0,22.0,5310683.0,2794704.0,849.5833333333334,0.36666666666666664,0.5262419165293805,11.11241739610353,10.0,22.0,1.2458333333333333,12.879166666666666,0.23206521739130434
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011794.784058,60.0,47222.0,11.0,5570926.0,3001152.0,787.0333333333333,0.18333333333333332,0.5387169027195838,5.248878315219219,11.0,11.0,0.7541666666666667,14.270833333333334,0.25807218144174665
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011854.784058,60.0,45289.0,12.0,7006673.0,4824336.0,754.8166666666667,0.2,0.6885344870525569,5.653999154848618,12.0,12.0,1.3958333333333333,13.516666666666667,0.26722543760587236
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011914.784058,60.0,41157.0,9.0,6005731.0,3700224.0,685.95,0.15,0.6161155070048925,4.858767634338473,13.0,9.0,2.0708333333333333,12.9875,0.26611613024656505
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790011974.784058,60.0,38117.0,9.0,6643006.0,4558224.0,635.2833333333333,0.15,0.6861688819790318,4.65193498676971,14.0,9.0,2.789029535864979,12.40928270042194,0.2611542740876808
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012034.784058,60.0,30142.0,9.0,5982972.0,3840144.0,502.3666666666667,0.15,0.641845557692732,4.794054879612757,15.0,9.0,3.2594142259414225,11.644351464435147,0.242460468401891
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012094.784058,60.0,33195.0,9.0,5707418.0,3567168.0,553.25,0.15,0.6250055629358144,4.415575470140253,16.0,9.0,3.558333333333333,11.508333333333333,0.2521374458874459
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012154.784058,60.0,31078.0,9.0,5527290.0,3380256.0,517.9666666666667,0.15,0.6115575625668275,5.426675262537608,17.0,9.0,4.025,10.958333333333334,0.2565558535667231
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012214.784058,60.0,26353.0,4.0,6679546.0,4793184.0,439.21666666666664,0.06666666666666667,0.717591285395744,3.124804736274707,18.0,4.0,4.0,11.229166666666666,0.2552253905514775
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012274.784058,60.0,28441.0,9.0,4288625.0,2100384.0,474.01666666666665,0.15,0.4897569733889067,5.011832705710462,19.0,9.0,5.141666666666667,10.025,0.24881422924901186
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012334.784058,60.0,36041.0,6.0,5302483.0,3063456.0,600.6833333333333,0.1,0.5777399003448007,3.4716518790988773,20.0,6.0,3.8438818565400843,11.645569620253164,0.2766822243982398
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012394.784058,60.0,34821.0,10.0,6341788.0,4102032.0,580.35,0.16666666666666666,0.6468257847786776,4.667747814446061,21.0,10.0,3.5230125523012554,11.364016736401673,0.2786738457104111
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012454.784058,60.0,31830.0,9.0,6866594.0,4356000.0,530.5,0.15,0.6343756453344992,4.7129564309088074,22.0,9.0,3.3291666666666666,11.795833333333333,0.2941781949934124
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012514.784058,60.0,43536.0,9.0,4729524.0,2416656.0,725.6,0.15,0.5109723515516572,5.2453285425177745,23.0,9.0,2.470833333333333,12.591666666666667,0.31534914361001315
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012574.784058,60.0,45626.0,16.0,6334520.0,4292112.0,760.4333333333333,0.26666666666666666,0.6775749385904536,7.960440415989751,24.0,16.0,1.4625,13.158333333333333,0.3272821381517034
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012634.784058,60.0,46739.0,11.0,5889471.0,3558720.0,778.9833333333333,0.18333333333333332,0.6042512137337972,7.629419768213659,25.0,11.0,1.2226890756302522,13.478991596638656,0.2858910362563998
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012694.784058,60.0,45131.0,16.0,6658507.0,4135296.0,752.1833333333333,0.26666666666666666,0.6210545397038706,8.05240313864104,26.0,16.0,1.2803347280334727,13.200836820083682,0.26971500393366865
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012754.784058,60.0,55291.0,11.0,7409523.0,5300592.0,921.5166666666667,0.18333333333333332,0.7153756051502911,6.477770617232047,27.0,11.0,0.7782426778242678,13.803347280334728,0.2597627040959768
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012814.784058,60.0,42946.0,14.0,6604486.0,4618416.0,715.7666666666667,0.23333333333333334,0.6992846983096035,5.950246465146175,28.0,14.0,2.6708333333333334,12.083333333333334,0.2820593355919443
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012874.784058,60.0,38091.0,4.0,7006398.0,4657488.0,634.85,0.06666666666666667,0.6647478490374084,3.466628884517232,29.0,4.0,2.8541666666666665,12.408333333333333,0.2835521362695276
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012934.784058,60.0,30962.0,9.0,7009761.0,5197104.0,516.0333333333333,0.15,0.7414095858617719,4.804260640080543,30.0,9.0,3.35,11.6625,0.26073546019198196
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790012994.784058,60.0,41033.0,8.0,6691626.0,4859184.0,683.8833333333333,0.13333333333333333,0.7261589335686125,4.019949107494707,31.0,8.0,4.928571428571429,10.344537815126051,0.27986846912678115
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790013054.784058,60.0,34181.0,9.0,5260068.0,3272544.0,569.6833333333333,0.15,0.6221486110065497,4.54220001208058,32.0,9.0,4.577405857740586,10.556485355648535,0.2660317670323128
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790013114.784058,60.0,32619.0,8.0,4676655.0,2581920.0,543.65,0.13333333333333333,0.5520869082709757,4.64983461446605,33.0,8.0,4.535564853556485,10.267782426778243,0.23916587323900404
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,1790013174.784058,60.0,35157.0,11.0,5833697.0,3510672.0,585.95,0.18333333333333332,0.6017919682835773,4.999298437457963,34.0,11.0,4.854166666666667,10.116666666666667,0.26701486918878226
