run,workload,group,replica,output_tokens_s,prefix_reuse,samples,waiting_mean,running_mean,kv_cache_mean
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r00,141.34916666666666,0.807152467622551,3590,0.03899721448467967,1.6122562674094707,0.04552839070823811
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r01,162.38805555555555,0.7815331619662063,3590,0.028133704735376044,2.261281337047354,0.07089922914677668
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r02,149.18194444444444,0.7978355444110364,3590,0.026740947075208913,1.7788300835654596,0.052616827280748804
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_rr,r03,161.6688888888889,0.12264785198928162,3590,13.578272980501392,40.743454038997214,0.90911922037028
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,r00,426.95916666666665,0.9184448710328094,3591,0.1164021164021164,13.175717070453912,0.2723759175213899
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,r01,329.1697222222222,0.9267229754191665,3590,0.08997214484679665,8.386072423398328,0.2291018718474211
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,r02,408.33222222222224,0.8922798408623682,3590,0.09916434540389972,11.383008356545961,0.2452938789441151
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,r03,454.0311111111111,0.8618561106863701,3590,0.1860724233983287,19.974373259052925,0.284954835645159
minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_rr,r00,189.0098148148148,0.7695552567698257,5385,0.015041782729805013,2.3866295264623956,0.043506310007460545
minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_rr,r01,197.85962962962964,0.08197456196400629,5385,62.56118848653668,52.7355617455896,0.897480610705753
minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_rr,r02,189.02962962962962,0.7665083952442079,5385,0.015598885793871866,2.384401114206128,0.042012994877231286
minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_rr,r03,199.69703703703703,0.7636997229466838,5385,0.01615598885793872,2.6193129062209843,0.04689679542531668
minisweagent-routing-n4-cache_aware-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_cache,r00,600.8574074074074,0.8897366475369244,5385,0.48597957288765087,27.724048282265553,0.39248665830959645
minisweagent-routing-n4-cache_aware-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_cache,r01,552.5175925925926,0.9000248474672525,5385,0.32943361188486536,16.572330547818012,0.24276680890463137
minisweagent-routing-n4-cache_aware-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_cache,r02,620.6212962962964,0.8944686423665825,5386,0.5141106572595618,27.82101745265503,0.39446607816697743
minisweagent-routing-n4-cache_aware-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,routing_cache,r03,638.6761111111111,0.8567448823342151,5385,0.6,35.10362116991644,0.45362539039419264
minisweagent-frontend-f2-n8-build2-7643323.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,minisweagent,frontend_f2_build2,r00,720.2233333333334,0.9576741955031707,5386,0.08076494615670256,26.440958039361306,0.4347465971442787
