run,root,group,batch,workload,backends,frontends,physical_nodes_used,cc_per_backend,status,raw_valid,raw_steady,raw_collection_complete,worker_completion_verified,duration_seconds,measurement_start_unix,measurement_end_unix,completed_tasks_in_window,true_admissions_in_window,cancelled_admissions,failed_tasks,output_tokens,output_tokens_s,tasks_per_minute,prompt_tokens,cached_prompt_tokens,prefix_reuse,uncached_prompt_per_output,frontend_cpu_mean_percent,replica_output_cv,sampling_method,total_cc,window_usable,ttft_seconds_mean,ttft_seconds_p50,ttft_seconds_p95,task_lifecycle_seconds_mean,task_lifecycle_seconds_p50,task_lifecycle_seconds_p95,tool_latency_seconds_mean,tool_latency_seconds_p50,tool_latency_seconds_p95,setup_slot_wait_seconds_mean,setup_slot_wait_seconds_p50,setup_slot_wait_seconds_p95,setup_build_seconds_mean,setup_build_seconds_p50,setup_build_seconds_p95,execution_setup_seconds,execution_llm_only_seconds,execution_tool_only_seconds,execution_llm_tool_overlap_seconds,execution_other_and_cleanup_seconds,tool_calls,new_tool_errors,new_tool_error_fraction,running_mean_per_backend,waiting_mean_per_backend,kv_cache_mean_per_backend,ttft_seconds,task_lifecycle_seconds,tool_latency_seconds,execution_seconds_mean,backend_latency,build_slots_per_frontend
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,routing_rr,previous,openclaw,4,1,5,16,complete_nonsteady,True,False,True,True,3600.0,1790011134.784058,1790014734.784058,546,546,0,0,2212517,614.5880555555556,9.1,365212943,231836352,0.6347977431895123,60.28274178232303,4.958334045889796,0.057474417393160664,full measurement window; 60s bins; gauges averaged across samples and replicas,64,True,7.532912850437824,0.5043431819649413,43.51864966477732,402.6368360358159,224.67754270753358,1505.1996673339163,0.48596706490679004,0.497634,0.7944775999999993,,,,,,,10.904011212454211,380.4544596923077,6.6352220769230765,1.0858225185894387e-14,4.643143054130911,7349,73,0.009933324261804327,11.598955431754874,3.4180362116991643,0.2695409168765109,,,,,,
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,routing_cache,previous,openclaw,4,1,5,16,complete_steady,True,True,True,True,3600.0,1790011134.3432715,1790014734.3432715,1416,1416,0,0,5826572,1618.4922222222222,23.6,980664293,888263904,0.905777757322709,15.858447986225864,13.6014937336555,0.11490862869756681,full measurement window; 60s bins; gauges averaged across samples and replicas,64,True,0.6776712756804807,0.4400370579678565,1.945222903182729,161.08690549109835,98.8704283030238,558.4276109280763,0.5032506630044259,0.50068,0.8145007999999999,,,,,,,12.181574605225988,137.2835128114407,6.769391753531068,5.187313228050873e-15,4.852426320900595,19205,198,0.010309815152304088,13.229792777362782,0.12290275751278537,0.2579316259895213,,,,,,
minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/minisweagent-routing-n4-round_robin-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,routing_rr,previous,minisweagent,4,1,5,32,window_only_drain_timeout,False,,False,False,5400.0,1790011115.527821,1790016515.527821,235,235,36,0,4188219,775.5961111111111,2.611111111111111,654549170,389393664,0.5949036097624263,63.30984745544586,11.830471755534067,0.02538622985689877,full measurement window; 60s bins; gauges averaged across samples and replicas,128,True,,,,,,,,,,0.00010217653706352761,8.078198879957199e-05,0.0001287593506276607,4.400317736714087,4.291138305095956,5.89170862280298,,,,,,,,,15.031476323119778,15.651996285979573,0.2574741777539404,,,,,,
minisweagent-routing-n4-cache_aware-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/minisweagent-routing-n4-cache_aware-7642786.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,routing_cache,previous,minisweagent,4,1,5,32,complete_steady,True,True,True,True,5400.0,1790011115.8868446,1790016515.8868446,786,786,0,0,13028431,2412.6724074074073,8.733333333333333,2015108964,1784973696,0.8857951246749552,17.66408157666875,38.41554539627206,0.0533132090289018,full measurement window; 60s bins; gauges averaged across samples and replicas,128,True,0.6864274809872501,0.37822775985114276,2.3048826979938895,849.1575611628543,734.3252380114282,1916.0189167021308,1.1194302806448384,0.639094,2.096452,0.006784006825271453,8.292496204376221e-05,0.00016874977154657245,5.1425974223242585,4.971593621070497,6.788915986020584,5.362060732824427,740.1002840381678,100.27346082061065,2.8204749816431457e-14,3.4217555712512486,69971,197,0.0028154521158765774,26.80525436316376,0.4823809605080195,0.37083623394384946,,,,,,
openclaw-fixed_frontend-n8-7642787.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-fixed_frontend-n8-7642787.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,fixed_sticky,previous,openclaw,8,1,9,16,complete_steady,True,True,True,True,3600.0,1790011124.3283682,1790014724.3283682,3044,3044,0,0,12431607,3453.224166666667,50.733333333333334,2094422307,1968236160,0.9397513354502293,10.150429224475968,35.43319517793644,0.010505809824245245,full measurement window; 60s bins; gauges averaged across samples and replicas,128,True,0.5103543825730907,0.44628132740035653,0.9889285846729762,149.89784304049806,89.90726925700437,479.05434342809,0.5189725460388056,0.5017645,0.9441020499999997,,,,,,,15.106255500985544,122.80320451051249,6.912416875492769,3.2340898830342273e-15,5.075966153507269,40922,405,0.00989687698548458,,,,,,,,,
minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/minisweagent-fixed_frontend-n8-7642788.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,fixed_sticky,previous,minisweagent,8,1,9,32,complete_steady,True,True,True,True,5400.0,1790011112.7426138,1790016512.7426138,1679,1679,0,0,28401053,5259.454259259259,18.655555555555555,4398787576,4250841408,0.9663666031960257,5.209178969526236,95.79368564633464,0.007370039456915925,full measurement window; 60s bins; gauges averaged across samples and replicas,256,True,0.3362827796788126,0.2906528178136796,0.5257259500212967,798.5497201521664,684.9306059940718,1639.692069605342,2.2195462632346468,1.380955,4.805689799999998,97.28587008065749,50.070644489023834,350.2664033326552,12.71774674118111,11.98500501504168,18.958654419146477,110.64855860690888,485.1819436235854,194.7163157552114,1.8755958337634092e-14,8.002902166460633,152233,1194,0.007843240296125018,18.894904677090288,0.05140973013844785,0.3187547919630126,,,,,,4
openclaw-fixed_frontend-n2-7637010.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-fixed_frontend-n2-7637010.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,fixed_sticky,previous,openclaw,2,1,3,16,complete_steady,True,True,True,True,3600.0,1789868185.391215,1789871785.391215,767,767,0,0,3128293,868.9702777777778,12.783333333333333,531441071,499420416,0.93974749648207,10.235823498630083,6.769962574061531,0.0036419222879698313,full measurement window; 60s bins; gauges averaged across samples and replicas,32,True,0.5168798975940458,0.45288190618157387,0.9708982514217496,149.35742894117053,87.6328623869922,480.9129366689593,0.4815178497299383,0.49769549999999996,0.8281106,,,,,,,11.19007126988266,126.86634798305083,6.485338616688392,4.266035590841279e-15,4.815671071548623,,,,,,,,,,,,
openclaw-fixed_frontend-n4-7637012.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-fixed_frontend-n4-7637012.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,fixed_sticky,previous,openclaw,4,1,5,16,complete_steady,True,True,True,True,3600.0,1789913778.6088402,1789917378.6088402,1534,1534,0,0,6289968,1747.2133333333334,25.566666666666666,1062327703,998077872,0.9395197632344904,10.214651489482936,14.723789508787132,0.012960033657870816,full measurement window; 60s bins; gauges averaged across samples and replicas,64,True,0.5162892560953719,0.4485874050296843,0.9939656925387679,149.48714351814849,87.87184188258834,486.2982339224311,0.5084840703541736,0.500711,0.8619201999999982,,,,,,,12.266371154498044,125.68240924967405,6.9064190332464115,3.983486002305647e-15,4.631944080729971,,,,,,,,,,,,
minisweagent-fixed_frontend-n2-7637011.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/minisweagent-fixed_frontend-n2-7637011.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,fixed_sticky,previous,minisweagent,2,1,3,32,complete_steady,True,True,True,True,5400.0,1789868138.0701385,1789873538.0701385,456,456,0,0,7696900,1425.351851851852,5.066666666666666,1192645591,1138058592,0.9542303267526187,7.0920759006872895,21.23899214186993,0.012395120113292427,full measurement window; 60s bins; gauges averaged across samples and replicas,64,True,0.3914497330992674,0.3132438035681844,0.8297066875151359,733.3525903087534,611.9370862074429,1641.9375440371805,1.0196924791827295,0.580168,1.8631982999999988,0.010209426711713732,8.048198651522398e-05,0.00013328337809070945,4.556816755053628,4.459172080969438,6.061002237256616,4.724053265350878,632.1392455548246,93.80571938157892,2.349777292820682e-14,2.6835721069990406,,,,,,,,,,,,
openclaw-balanced-n1-7608115.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-balanced-n1-7608115.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,balanced,previous,openclaw,1,1,2,16,complete_steady,True,True,,True,3600.0,1789422522.3733726,1789426122.3733726,366,366,0,0,1560904,433.58444444444444,6.1,266259613,250144752,0.9394768856664717,10.324056444214378,3.203142151436229,0.0,full measurement window; 60s bins; gauges averaged across samples and replicas,16,True,0.5246732100278015,0.4503507814370096,1.0323064474039712,156.9456024838356,89.15187070053071,522.1099162295577,0.475105674015748,0.4967235,0.8299308000000009,,,,,,,10.539764786885245,135.19660712841528,6.580647863387979,3.8973074919082e-15,4.6285827051470445,,,,,,,,,,,,
openclaw-balanced-n4-7616566.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,runs/scaling/multinode/openclaw-balanced-n4-7616566.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,balanced,previous,openclaw,4,4,8,16,complete_steady,True,True,,True,3600.0,1789613062.3450513,1789616662.3450513,1536,1536,0,0,6310683,1752.9675,25.6,1067227478,1002654048,0.9394942209312193,10.232399567527002,3.3367143131182577,0.012486972983696132,full measurement window; 60s bins; gauges averaged across samples and replicas,64,True,0.5164232296051038,0.45021764002740383,1.00215085609816,148.40491993074116,86.73355868342333,484.9424391478533,0.49894201315160214,0.495894,0.828049,,,,,,,10.618617563151043,126.45280987109375,6.720311833984371,2.89583172256395e-15,4.613180662512001,,,,,,,,,,,,
